Index,uv,dv,ubar,dbar,u,d
1,1.7892419192111094e-09,1.634180350755071e-07,8.78783000629354e-18,7.526571384249531e-18,1.7892419279989393e-09,1.6341803508303367e-07
2,7.399689786105134e-09,4.6504220273071153e-07,1.6271504252495388e-16,1.3933600415253777e-16,7.399689948820176e-09,4.6504220287004755e-07
3,3.078154744191083e-08,1.3313398439331297e-06,2.9998874442917133e-15,2.5680135173921563e-15,3.078155044179827e-08,1.3313398465011432e-06
4,4.7009273298865284e-08,1.820036573450525e-06,7.108297366157013e-15,6.084107161831569e-15,4.700928040716265e-08,1.8200365795346321e-06
5,1.678987845230468e-07,4.660292735696779e-06,9.441700594420582e-14,8.076454452173518e-14,1.6789887894005275e-07,4.660292816461324e-06
6,2.59006720355626e-07,6.4181512194486064e-06,2.2732838422539956e-13,1.9440184824443698e-13,2.590069476840102e-07,6.418151413850455e-06
7,3.430794921959218e-07,7.897759316867658e-06,4.017351966812e-13,3.4347413340598524e-13,3.4307989393111845e-07,7.897759660341792e-06
8,5.667886679091988e-07,1.1436229842492468e-05,1.1100383952344698e-12,9.486336441769406e-13,5.667897779475941e-07,1.1436230791126112e-05
9,5.802388346092879e-07,1.1635610754629303e-05,1.1640066482188096e-12,9.947316818501067e-13,5.802399986159361e-07,1.1635611749360984e-05
10,6.167427665676218e-07,1.2170660824604403e-05,1.3169867919051978e-12,1.1253959816671748e-12,6.167440835544138e-07,1.2170661950000385e-05
11,7.413380576240026e-07,1.3937192070496774e-05,1.9113122903499708e-12,1.6329447523570813e-12,7.413399689362929e-07,1.3937193703441527e-05
12,7.505316655112418e-07,1.4064248425355846e-05,1.9595899641982887e-12,1.6741685853716454e-12,7.50533625101206e-07,1.4064250099524432e-05
13,7.667453591866661e-07,1.4287313325664314e-05,2.0462110153733635e-12,1.7481318060712193e-12,7.667474053976815e-07,1.428731507379612e-05
14,8.298822838695957e-07,1.5144224241704279e-05,2.4016036223048176e-12,2.0515705930553452e-12,8.29884685473218e-07,1.5144226293274873e-05
15,8.605610193131773e-07,1.5554246097163143e-05,2.5847210150226566e-12,2.2079065283030562e-12,8.605636040341924e-07,1.5554248305069672e-05
16,9.203180255773794e-07,1.634183545346891e-05,2.9609785209053842e-12,2.529111908406275e-12,9.203209865559003e-07,1.634183798258082e-05
17,1.2817830975951556e-06,2.0847782004176277e-05,5.7906102027949256e-12,4.9439504641287994e-12,1.2817888882053584e-06,2.0847786948126742e-05
18,2.383404283671171e-06,3.2847188933335894e-05,2.035983370028109e-11,1.736636729525259e-11,2.3834246435048715e-06,3.284720629970319e-05
19,2.3893718003793184e-06,3.2907299012096606e-05,2.0463427691975777e-11,1.7454654150357916e-11,2.3893922638070106e-06,3.2907316466750756e-05
20,2.728616754348047e-06,3.6259353928453324e-05,2.6793846569749966e-11,2.2848879948921297e-11,2.728643548194617e-06,3.625937677733327e-05
